program_id,turn,status,latency_s,prompt_tokens,completion_tokens
bench-ab-20260915-183059-tr-nodecay-s058,0,200,1840.838,61042,51
bench-ab-20260915-183059-tr-nodecay-s058,1,200,61.804,61122,56
bench-ab-20260915-183059-tr-nodecay-s058,2,200,38.653,61207,40
bench-ab-20260915-183059-tr-nodecay-s059,0,200,1837.54,61085,30
bench-ab-20260915-183059-tr-nodecay-s059,1,200,58.456,61144,45
bench-ab-20260915-183059-tr-nodecay-s059,2,200,45.291,61218,52
bench-ab-20260915-183059-tr-nodecay-s060,0,200,1839.16,61157,30
bench-ab-20260915-183059-tr-nodecay-s060,1,200,58.872,61216,45
bench-ab-20260915-183059-tr-nodecay-s060,2,200,42.857,61290,30
bench-ab-20260915-183059-tr-nodecay-s061,0,200,1841.526,61189,33
bench-ab-20260915-183059-tr-nodecay-s061,1,200,63.314,61251,58
bench-ab-20260915-183059-tr-nodecay-s061,2,200,36.848,61338,80
bench-ab-20260915-183059-tr-nodecay-s062,0,200,1842.816,61264,30
bench-ab-20260915-183059-tr-nodecay-s062,1,200,60.964,61323,47
bench-ab-20260915-183059-tr-nodecay-s062,2,200,37.311,61399,44
bench-ab-20260915-183059-tr-nodecay-s063,0,200,134.269,61324,29
bench-ab-20260915-183059-tr-nodecay-s063,1,200,2.338,61382,32
bench-ab-20260915-183059-tr-nodecay-s063,2,200,0.925,61443,31
bench-ab-20260915-183059-tr-nodecay-s064,0,200,1844.997,61317,33
bench-ab-20260915-183059-tr-nodecay-s064,1,200,63.091,61379,54
bench-ab-20260915-183059-tr-nodecay-s064,2,200,1806.051,61462,80
bench-ab-20260915-183059-tr-nodecay-s065,0,200,1846.865,61127,33
bench-ab-20260915-183059-tr-nodecay-s065,1,200,65.619,61189,49
bench-ab-20260915-183059-tr-nodecay-s065,2,200,28.578,61267,56
bench-ab-20260915-183059-tr-nodecay-s066,0,200,1854.511,61514,57
bench-ab-20260915-183059-tr-nodecay-s066,1,200,1802.396,61600,80
bench-ab-20260915-183059-tr-nodecay-s066,2,200,0.545,61709,79
bench-ab-20260915-183059-tr-nodecay-s067,0,200,1851.851,61226,38
bench-ab-20260915-183059-tr-nodecay-s067,1,200,58.985,61293,59
bench-ab-20260915-183059-tr-nodecay-s067,2,200,29.921,61381,52
bench-ab-20260915-183059-tr-nodecay-s068,0,200,1851.722,61302,31
bench-ab-20260915-183059-tr-nodecay-s068,1,200,59.708,61362,54
bench-ab-20260915-183059-tr-nodecay-s068,2,200,1802.282,61445,49
bench-ab-20260915-183059-tr-nodecay-s069,0,200,1855.508,61371,39
bench-ab-20260915-183059-tr-nodecay-s069,1,200,85.192,61439,38
bench-ab-20260915-183059-tr-nodecay-s069,2,200,0.561,61506,80
bench-ab-20260915-183059-tr-nodecay-s070,0,200,1859.141,61092,47
bench-ab-20260915-183059-tr-nodecay-s070,1,200,57.139,61168,43
bench-ab-20260915-183059-tr-nodecay-s070,2,200,23.919,61240,34
bench-ab-20260915-183059-tr-nodecay-s071,0,200,1864.475,61135,60
bench-ab-20260915-183059-tr-nodecay-s071,1,200,50.816,61224,48
bench-ab-20260915-183059-tr-nodecay-s071,2,200,25.158,61301,65
bench-ab-20260915-183059-tr-nodecay-s072,0,200,1863.971,61159,52
bench-ab-20260915-183059-tr-nodecay-s072,1,200,60.432,61240,52
bench-ab-20260915-183059-tr-nodecay-s072,2,200,15.723,61321,37
bench-ab-20260915-183059-tr-nodecay-s073,0,200,1862.721,61303,40
bench-ab-20260915-183059-tr-nodecay-s073,1,200,64.119,61372,46
bench-ab-20260915-183059-tr-nodecay-s073,2,200,13.253,61447,45
bench-ab-20260915-183059-tr-nodecay-s074,0,200,1864.918,61101,42
bench-ab-20260915-183059-tr-nodecay-s074,1,200,62.612,61172,80
bench-ab-20260915-183059-tr-nodecay-s074,2,200,12.671,61282,80
bench-ab-20260915-183059-tr-nodecay-s075,0,200,1865.08,61091,35
bench-ab-20260915-183059-tr-nodecay-s075,1,200,53.381,61155,47
bench-ab-20260915-183059-tr-nodecay-s075,2,200,21.256,61231,42
bench-ab-20260915-183059-tr-nodecay-s076,0,200,1871.645,61244,48
bench-ab-20260915-183059-tr-nodecay-s076,1,200,47.748,61321,49
bench-ab-20260915-183059-tr-nodecay-s076,2,200,20.554,61399,80
bench-ab-20260915-183059-tr-nodecay-s077,0,200,1870.859,61184,38
bench-ab-20260915-183059-tr-nodecay-s077,1,200,46.207,61251,38
bench-ab-20260915-183059-tr-nodecay-s077,2,200,22.547,61318,55
bench-ab-20260915-183059-tr-nodecay-s078,0,200,1871.39,61274,33
bench-ab-20260915-183059-tr-nodecay-s078,1,200,48.678,61336,52
bench-ab-20260915-183059-tr-nodecay-s078,2,200,19.394,61417,45
bench-ab-20260915-183059-tr-nodecay-s079,0,200,1880.381,61223,59
bench-ab-20260915-183059-tr-nodecay-s079,1,200,55.763,61311,49
bench-ab-20260915-183059-tr-nodecay-s079,2,200,3.175,61389,44
