program_id,turn,status,latency_s,prompt_tokens,completion_tokens
bench-ab-20260915-162856-tr-decay-s057,2,200,0.79,61378,33
bench-ab-20260915-162856-tr-decay-s058,0,200,242.223,61042,51
bench-ab-20260915-162856-tr-decay-s058,1,200,57.545,61122,56
bench-ab-20260915-162856-tr-decay-s058,2,200,3.065,61207,80
bench-ab-20260915-162856-tr-decay-s059,0,200,213.542,61085,30
bench-ab-20260915-162856-tr-decay-s059,1,200,47.959,61144,45
bench-ab-20260915-162856-tr-decay-s059,2,200,40.874,61218,51
bench-ab-20260915-162856-tr-decay-s060,0,200,231.167,61157,30
bench-ab-20260915-162856-tr-decay-s060,1,200,58.856,61216,45
bench-ab-20260915-162856-tr-decay-s060,2,200,11.787,61290,31
bench-ab-20260915-162856-tr-decay-s061,0,200,182.185,61189,33
bench-ab-20260915-162856-tr-decay-s061,1,200,45.777,61251,58
bench-ab-20260915-162856-tr-decay-s061,2,200,65.07,61338,80
bench-ab-20260915-162856-tr-decay-s062,0,200,253.913,61264,30
bench-ab-20260915-162856-tr-decay-s062,1,200,48.154,61323,46
bench-ab-20260915-162856-tr-decay-s062,2,200,0.791,61398,43
bench-ab-20260915-162856-tr-decay-s063,0,200,111.928,61324,29
bench-ab-20260915-162856-tr-decay-s063,1,200,47.523,61382,27
bench-ab-20260915-162856-tr-decay-s063,2,200,39.938,61438,39
bench-ab-20260915-162856-tr-decay-s064,0,200,250.349,61317,33
bench-ab-20260915-162856-tr-decay-s064,1,200,51.176,61379,56
bench-ab-20260915-162856-tr-decay-s064,2,200,0.77,61464,56
bench-ab-20260915-162856-tr-decay-s065,0,200,126.196,61127,33
bench-ab-20260915-162856-tr-decay-s065,1,200,48.527,61189,49
bench-ab-20260915-162856-tr-decay-s065,2,200,43.998,61267,55
bench-ab-20260915-162856-tr-decay-s066,0,200,301.746,61514,53
bench-ab-20260915-162856-tr-decay-s066,1,200,0.779,61596,46
bench-ab-20260915-162856-tr-decay-s066,2,200,0.647,61671,60
bench-ab-20260915-162856-tr-decay-s067,0,200,230.278,61226,38
bench-ab-20260915-162856-tr-decay-s067,1,200,60.27,61293,59
bench-ab-20260915-162856-tr-decay-s067,2,200,11.145,61381,80
bench-ab-20260915-162856-tr-decay-s068,0,200,234.158,61302,31
bench-ab-20260915-162856-tr-decay-s068,1,200,59.096,61362,54
bench-ab-20260915-162856-tr-decay-s068,2,200,7.977,61445,50
bench-ab-20260915-162856-tr-decay-s069,0,200,136.369,61371,39
bench-ab-20260915-162856-tr-decay-s069,1,200,68.611,61439,40
bench-ab-20260915-162856-tr-decay-s069,2,200,43.95,61508,40
bench-ab-20260915-162856-tr-decay-s070,0,200,224.43,61092,47
bench-ab-20260915-162856-tr-decay-s070,1,200,48.326,61168,43
bench-ab-20260915-162856-tr-decay-s070,2,200,28.129,61240,46
bench-ab-20260915-162856-tr-decay-s071,0,200,301.564,61135,60
bench-ab-20260915-162856-tr-decay-s071,1,200,0.801,61224,35
bench-ab-20260915-162856-tr-decay-s071,2,200,0.364,61288,40
bench-ab-20260915-162856-tr-decay-s072,0,200,169.651,61159,52
bench-ab-20260915-162856-tr-decay-s072,1,200,43.804,61240,52
bench-ab-20260915-162856-tr-decay-s072,2,200,52.115,61321,54
bench-ab-20260915-162856-tr-decay-s073,0,200,228.033,61303,40
bench-ab-20260915-162856-tr-decay-s073,1,200,56.761,61372,46
bench-ab-20260915-162856-tr-decay-s073,2,200,15.8,61447,52
bench-ab-20260915-162856-tr-decay-s074,0,200,174.283,61101,42
bench-ab-20260915-162856-tr-decay-s074,1,200,49.981,61172,80
bench-ab-20260915-162856-tr-decay-s074,2,200,57.14,61282,80
bench-ab-20260915-162856-tr-decay-s075,0,200,251.246,61091,35
bench-ab-20260915-162856-tr-decay-s075,1,200,49.272,61155,55
bench-ab-20260915-162856-tr-decay-s075,2,200,0.987,61239,44
bench-ab-20260915-162856-tr-decay-s076,0,200,267.898,61244,48
bench-ab-20260915-162856-tr-decay-s076,1,200,32.392,61321,39
bench-ab-20260915-162856-tr-decay-s076,2,200,0.658,61389,37
bench-ab-20260915-162856-tr-decay-s077,0,200,276.739,61184,38
bench-ab-20260915-162856-tr-decay-s077,1,200,23.281,61251,33
bench-ab-20260915-162856-tr-decay-s077,2,200,0.622,61313,43
bench-ab-20260915-162856-tr-decay-s078,0,200,242.772,61274,33
bench-ab-20260915-162856-tr-decay-s078,1,200,56.72,61336,51
bench-ab-20260915-162856-tr-decay-s078,2,200,0.808,61416,46
bench-ab-20260915-162856-tr-decay-s079,0,200,224.595,61223,59
bench-ab-20260915-162856-tr-decay-s079,1,200,56.23,61311,49
bench-ab-20260915-162856-tr-decay-s079,2,200,18.802,61389,40
