ts,backend,kv_cache_usage_perc,interval_hit_rate,interval_queries,interval_hits,cum_prefix_cache_queries,cum_prefix_cache_hits,num_requests_running,num_requests_waiting,active_program_tokens,reasoning_program_tokens,acting_program_tokens,capacity_overflow
1789511458.6,http://10.100.3.5:8000,0.1627,,0,0,2779074,19008,6,27,2144683,2144683,0,0
1789511460.7,http://10.100.15.12:8000,0.1628,0.0,61142,0,1160336537,1062442576,6,29,2144847,2144847,0,0
1789511460.7,http://10.100.2.5:8000,0.1902,0.0,61223,0,2901691,19568,7,28,2079409,2079409,0,0
1789511460.7,http://10.100.2.6:8000,0.176,0.0,122267,0,2900418,19216,7,29,2204137,2204137,0,0
1789511460.7,http://10.100.3.5:8000,0.1793,0.0,122614,0,2901688,19008,7,28,2144683,2144683,0,0
1789511462.7,http://10.100.15.12:8000,0.1847,0.0,61285,0,1160397822,1062442576,7,28,2144840,2144840,0,0
1789511462.7,http://10.100.2.5:8000,0.1884,0.0,61246,0,2962937,19568,7,27,2141711,2141711,0,0
1789511462.7,http://10.100.2.6:8000,0.1779,0.0,61258,0,2961676,19216,7,28,2204239,2204239,0,0
1789511462.7,http://10.100.3.5:8000,0.2086,0.0,61327,0,2963015,19008,8,27,2205898,2205898,0,0
1789511464.7,http://10.100.15.12:8000,0.1847,,0,0,1160397822,1062442576,7,28,2144840,2144840,0,0
1789511464.7,http://10.100.2.5:8000,0.2086,0.0,122450,0,3085387,19568,8,27,2141711,2141711,0,0
1789511464.7,http://10.100.2.6:8000,0.1633,0.0,61241,0,3022917,19216,6,28,2083492,2083492,0,0
1789511464.7,http://10.100.3.5:8000,0.194,0.0,122568,0,3085583,19008,8,26,2083504,2083504,0,0
1789511466.7,http://10.100.15.12:8000,0.203,0.0,183927,0,1160581749,1062442576,8,26,2206701,2206701,0,0
1789511466.7,http://10.100.2.5:8000,0.2105,0.0,61184,0,3146571,19568,8,26,2145240,2145240,0,0
1789511466.7,http://10.100.2.6:8000,0.1926,0.0,122615,0,3145532,19216,8,26,2206193,2206193,0,0
1789511466.7,http://10.100.3.5:8000,0.2197,0.0,61184,0,3146767,19008,9,25,2145360,2145360,0,0
1789511468.7,http://10.100.15.12:8000,0.203,,0,0,1160581749,1062442576,8,26,2145464,2145464,0,0
1789511468.7,http://10.100.2.5:8000,0.2105,,0,0,3146571,19568,8,26,2145240,2145240,0,0
1789511468.7,http://10.100.2.6:8000,0.1926,,0,0,3145532,19216,8,26,2206193,2206193,0,0
1789511468.7,http://10.100.3.5:8000,0.2197,,0,0,3146767,19008,9,25,2145360,2145360,0,0
1789511470.8,http://10.100.15.12:8000,0.1994,0.0,122457,0,1160704206,1062442576,8,27,2084136,2084136,0,0
1789511470.8,http://10.100.2.5:8000,0.2234,0.0,122336,0,3268907,19568,9,26,2084019,2084019,0,0
1789511470.8,http://10.100.2.6:8000,0.2402,0.0,61139,0,3206671,19216,9,27,2083777,2083777,0,0
1789511470.8,http://10.100.3.5:8000,0.2398,0.0,61204,0,3207971,19008,9,26,2084144,2084144,0,0
1789511472.8,http://10.100.15.12:8000,0.194,0.0,61379,0,1160765585,1062442576,8,26,2206931,2206931,0,0
1789511472.8,http://10.100.2.5:8000,0.2015,0.0,61306,0,3330213,19568,8,25,2206996,2206996,0,0
1789511472.8,http://10.100.2.6:8000,0.2148,0.0,61251,0,3267922,19216,8,26,2084172,2084172,0,0
1789511472.8,http://10.100.3.5:8000,0.2141,0.0,61115,0,3269086,19008,8,25,2206994,2206994,0,0
1789511474.8,http://10.100.15.12:8000,0.194,,0,0,1160765585,1062442576,8,26,2084419,2084419,0,0
1789511474.8,http://10.100.2.5:8000,0.2144,0.0,61144,0,3391357,19568,8,27,2145717,2145717,0,0
1789511474.8,http://10.100.2.6:8000,0.1181,0.0,122311,0,3390233,19216,5,26,1900226,1900226,0,0
